symbol,name,lastsale,marketcap,ipoyear,sector,industry
YI,"111, Inc.",3.35,273560000.0,2018.0,Health Care,Medical/Nursing Services
PIH,"1347 Property Insurance Holdings, Inc.",5.02,30180000.0,2014.0,Finance,Property-Casualty Insurers
PIHPP,"1347 Property Insurance Holdings, Inc.",25.6511,17960000.0,,Finance,Property-Casualty Insurers
TURN,180 Degree Capital Corp.,1.9404,60390000.0,,Finance,Finance/Investors Services
FLWS,"1-800 FLOWERS.COM, Inc.",19.5,1250000000.0,1999.0,Consumer Services,Other Specialty Stores
BCOW,"1895 Bancorp of Wisconsin, Inc.",9.3849,45770000.0,2019.0,Finance,Banks
FCCY,1st Constitution Bancorp (NJ),17.06,147550000.0,,Finance,Savings Institutions
SRCE,1st Source Corporation,45.05,1150000000.0,,Finance,Major Banks
VNET,"21Vianet Group, Inc.",7.1,797990000.0,2011.0,Technology,"Computer Software: Programming, Data Processing"
TWOU,"2U, Inc.",14.46,915820000.0,2014.0,Technology,Computer Software: Prepackaged Software
QFIN,"360 Finance, Inc.",10.29,1480000000.0,2018.0,Finance,Finance: Consumer Services
JOBS,"51job, Inc.",64.95,4059999999.9999995,2004.0,Technology,Diversified Commercial Services
JFK,8i Enterprises Acquisition Corp,9.98,74130000.0,2019.0,Finance,Business Services
JFKKR,8i Enterprises Acquisition Corp,0.49,,2019.0,Finance,Business Services
JFKKU,8i Enterprises Acquisition Corp,10.67,53350000.0,2019.0,Finance,Business Services
JFKKW,8i Enterprises Acquisition Corp,0.3,1730000.0,2019.0,Finance,Business Services
EGHT,8x8 Inc,25.01,2480000000.0,,Technology,EDP Services
AAON,"AAON, Inc.",45.43,2370000000.0,,Capital Goods,Industrial Machinery/Components
ABEO,Abeona Therapeutics Inc.,2.29,112580000.0,,Health Care,Major Pharmaceuticals
ABEOW,Abeona Therapeutics Inc.,0.15,,,Health Care,Major Pharmaceuticals
ABIL,Ability Inc.,0.6899,5550000.0,2014.0,Capital Goods,Telecommunications Equipment
ABMD,"ABIOMED, Inc.",191.7,8700000000.0,,Health Care,Medical/Dental Instruments
AXAS,Abraxas Petroleum Corporation,0.7,117860000.0,,Energy,Oil & Gas Production
ACIU,AC Immune SA,5.4,364840000.0,2016.0,Health Care,Major Pharmaceuticals
ACIA,"Acacia Communications, Inc.",64.49,2640000000.0,2016.0,Technology,Semiconductors
ACTG,Acacia Research Corporation,2.92,146390000.0,,Miscellaneous,Multi-Sector Companies
ACHC,"Acadia Healthcare Company, Inc.",29.3,2590000000.0,,Health Care,Medical Specialities
ACAD,ACADIA Pharmaceuticals Inc.,29.39,4250000000.0,1985.0,Health Care,Major Pharmaceuticals
ACAM,Acamar Partners Acquisition Corp.,9.81,374710000.0,2019.0,Finance,Business Services
ACAMU,Acamar Partners Acquisition Corp.,10.02,,2019.0,Finance,Business Services
ACAMW,Acamar Partners Acquisition Corp.,0.75,,2019.0,Finance,Business Services
ACST,"Acasti Pharma, Inc.",2.27,183580000.0,,Health Care,Major Pharmaceuticals
AXDX,"Accelerate Diagnostics, Inc.",16.59,903490000.0,,Capital Goods,Biotechnology: Laboratory Analytical Instruments
XLRN,Acceleron Pharma Inc.,44.59,2360000000.0,2013.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ARAY,Accuray Incorporated,3.715,327010000.0,2007.0,Health Care,Medical/Dental Instruments
ACRX,"AcelRx Pharmaceuticals, Inc.",2.3,181500000.0,2011.0,Health Care,Major Pharmaceuticals
ACER,Acer Therapeutics Inc.,2.62,26430000.0,,Health Care,Major Pharmaceuticals
ACHV,"Achieve Life Sciences, Inc. ",1.8606,14560000.0,,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
ACHN,"Achillion Pharmaceuticals, Inc.",4.82,668660000.0,2006.0,Health Care,Major Pharmaceuticals
ACIW,"ACI Worldwide, Inc.",30.89,3420000000.0,,Technology,Computer Software: Prepackaged Software
ACRS,"Aclaris Therapeutics, Inc.",1.01,41690000.0,2015.0,Health Care,Major Pharmaceuticals
ACMR,"ACM Research, Inc.",17.81,286600000.0,2017.0,Technology,Industrial Machinery/Components
ACNB,ACNB Corporation,36.13,255430000.0,,Finance,Major Banks
ACOR,"Acorda Therapeutics, Inc.",2.955,142220000.0,2006.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ACTT,Act II Global Acquisition Corp.,9.83,368630000.0,2019.0,Finance,Business Services
ACTTU,Act II Global Acquisition Corp.,10.22,,2019.0,Finance,Business Services
ACTTW,Act II Global Acquisition Corp.,0.8,17400000.0,2019.0,Finance,Business Services
ATVI,"Activision Blizzard, Inc",49.34,37790000000.0,,Technology,Computer Software: Prepackaged Software
