symbol,symbol,name,lastsale,marketcap,ipoyear,sector,industry
A,A,"Agilent Technologies, Inc.",69.49,21960000000.0,1999.0,Capital Goods,Biotechnology: Laboratory Analytical Instruments
AA,AA,Alcoa Corporation,20.12,3730000000.0,2016.0,Basic Industries,Aluminum
AABA,AABA,Altaba Inc.,69.93,36330000000.0,,Technology,EDP Services
AAC,AAC,"AAC Holdings, Inc.",0.873,22090000.0,2014.0,Health Care,Medical Specialities
AAL,AAL,"American Airlines Group, Inc.",29.08,12950000000.0,,Transportation,Air Freight/Delivery Services
AAMC,AAMC,Altisource Asset Management Corp,11.25,17880000.0,,Finance,Real Estate
AAME,AAME,Atlantic American Corporation,2.42,48750000.0,,Finance,Life Insurance
AAN,AAN,"Aaron&#39;s,  Inc.",65.47,4420000000.0,,Technology,Diversified Commercial Services
AAOI,AAOI,"Applied Optoelectronics, Inc.",10.9,217340000.0,2013.0,Technology,Semiconductors
AAON,AAON,"AAON, Inc.",45.43,2370000000.0,,Capital Goods,Industrial Machinery/Components
AAP,AAP,Advance Auto Parts Inc,144.43,10360000000.0,,Consumer Services,Other Specialty Stores
AAPL,AAPL,Apple Inc.,203.43,919340000000.0,1980.0,Technology,Computer Manufacturing
AAT,AAT,"American Assets Trust, Inc.",47.59,2840000000.0,2011.0,Consumer Services,Real Estate Investment Trusts
AAU,AAU,"Almaden Minerals, Ltd.",0.775,86590000.0,2015.0,Basic Industries,Precious Metals
AAWW,AAWW,Atlas Air Worldwide Holdings,30.88,798380000.0,,Transportation,Transportation Services
AAXJ,AAXJ,iShares MSCI All Country Asia ex Japan Index Fund,65.02,3760000000.0,,,
AAXN,AAXN,"Axon Enterprise, Inc.",68.59,4059999999.999999,,Capital Goods,Ordnance And Accessories
AB,AB,AllianceBernstein Holding L.P.,28.01,2700000000.0,,Finance,Investment Managers
ABB,ABB,ABB Ltd,18.15,38710000000.0,,Consumer Durables,Electrical Products
ABBV,ABBV,AbbVie Inc.,65.45,96770000000.0,2012.0,Health Care,Major Pharmaceuticals
ABC,ABC,AmerisourceBergen Corporation (Holding Co),87.89,18310000000.0,,Health Care,Other Pharmaceuticals
ABCB,ABCB,Ameris Bancorp,37.91,2630000000.0,1994.0,Finance,Major Banks
ABDC,ABDC,Alcentra Capital Corp.,8.24,106090000.0,,,
ABEO,ABEO,Abeona Therapeutics Inc.,2.29,112580000.0,,Health Care,Major Pharmaceuticals
ABEV,ABEV,Ambev S.A.,5.1,80210000000.0,2013.0,Consumer Non-Durables,Beverages (Production/Distribution)
ABG,ABG,Asbury Automotive Group Inc,92.93,1800000000.0,2002.0,Consumer Durables,Automotive Aftermarket
ABIL,ABIL,Ability Inc.,0.6899,5550000.0,2014.0,Capital Goods,Telecommunications Equipment
ABIO,ABIO,"ARCA biopharma, Inc.",6.24,9080000.0,,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
ABM,ABM,ABM Industries Incorporated,41.11,2730000000.0,,Finance,Diversified Commercial Services
ABMD,ABMD,"ABIOMED, Inc.",191.7,8700000000.0,,Health Care,Medical/Dental Instruments
ABR,ABR,Arbor Realty Trust,12.67,1200000000.0,2004.0,Consumer Services,Real Estate Investment Trusts
ABT,ABT,Abbott Laboratories,85.56,151220000000.0,,Health Care,Major Pharmaceuticals
ABTX,ABTX,"Allegiance Bancshares, Inc.",32.58,689340000.0,2015.0,Finance,Major Banks
ABUS,ABUS,Arbutus Biopharma Corporation,1.65,93800000.0,,Health Care,Major Pharmaceuticals
AC,AC,"Associated Capital Group, Inc.",36.2,816450000.0,2015.0,Finance,Investment Bankers/Brokers/Service
ACA,ACA,"Arcosa, Inc.",34.03,1650000000.0,2018.0,Capital Goods,Metal Fabrications
ACAD,ACAD,ACADIA Pharmaceuticals Inc.,29.39,4250000000.0,1985.0,Health Care,Major Pharmaceuticals
ACAM,ACAM,Acamar Partners Acquisition Corp.,9.81,374710000.0,2019.0,Finance,Business Services
ACB,ACB,Aurora Cannabis Inc.,6.64,6760000000.0,2018.0,Consumer Durables,Specialty Chemicals
ACBI,ACBI,"Atlantic Capital Bancshares, Inc.",17.53,408330000.0,,Finance,Major Banks
ACC,ACC,American Campus Communities Inc,47.43,6520000000.0,2004.0,Consumer Services,Real Estate Investment Trusts
ACCO,ACCO,Acco Brands Corporation,9.58,937940000.0,,Consumer Durables,Publishing
ACER,ACER,Acer Therapeutics Inc.,2.62,26430000.0,,Health Care,Major Pharmaceuticals
ACGL,ACGL,Arch Capital Group Ltd.,39.45,15970000000.0,,Finance,Property-Casualty Insurers
ACH,ACH,Aluminum Corporation of China Limited,7.47,5090000000.0,2001.0,Basic Industries,Aluminum
ACHC,ACHC,"Acadia Healthcare Company, Inc.",29.3,2590000000.0,,Health Care,Medical Specialities
ACHN,ACHN,"Achillion Pharmaceuticals, Inc.",4.82,668660000.0,2006.0,Health Care,Major Pharmaceuticals
ACHV,ACHV,"Achieve Life Sciences, Inc. ",1.8606,14560000.0,,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
ACIA,ACIA,"Acacia Communications, Inc.",64.49,2640000000.0,2016.0,Technology,Semiconductors
ACIU,ACIU,AC Immune SA,5.4,364840000.0,2016.0,Health Care,Major Pharmaceuticals
ACIW,ACIW,"ACI Worldwide, Inc.",30.89,3420000000.0,,Technology,Computer Software: Prepackaged Software
ACLS,ACLS,"Axcelis Technologies, Inc.",15.23,501710000.0,2000.0,Technology,Industrial Machinery/Components
ACM,ACM,AECOM,34.44,5420000000.0,2007.0,Consumer Services,Military/Government/Technical
