,rank,Company,Symbol,Weight,Price,Chg,% Chg
0,1,Microsoft Corporation,MSFT,4.365224,144.0,-0.61,(-0.42%)
1,2,Apple Inc.,AAPL,4.085425,248.66,5.4,(2.22%)
2,3,Amazon.com Inc.,AMZN,2.923959,1779.93,-0.06,(-0.00%)
3,4,Facebook Inc. Class A,FB,1.790668,194.08,5.83,(3.10%)
4,5,Berkshire Hathaway Inc. Class B,BRK.B,1.653313,212.78,-0.47,(-0.22%)
5,6,JPMorgan Chase & Co.,JPM,1.589612,124.72,-1.01,(-0.80%)
6,7,Alphabet Inc. Class C,GOOG,1.507165,1254.47,-6.82,(-0.54%)
7,8,Alphabet Inc. Class A,GOOGL,1.493132,1252.99,-7.71,(-0.61%)
8,9,Johnson & Johnson,JNJ,1.386211,131.59,-1.25,(-0.94%)
9,10,Procter & Gamble Company,PG,1.236798,123.48,-1.47,(-1.17%)
10,11,Visa Inc. Class A,V,1.224073,178.69,-0.56,(-0.31%)
11,12,Exxon Mobil Corporation,XOM,1.13338,67.52,-0.2,(-0.30%)
12,13,AT&T Inc.,T,1.104098,38.16,-0.05,(-0.12%)
13,14,Bank of America Corp,BAC,1.047805,31.08,-0.54,(-1.71%)
14,15,Home Depot Inc.,HD,1.023122,235.51,-0.73,(-0.31%)
15,16,Verizon Communications Inc.,VZ,0.995021,60.26,-0.56,(-0.92%)
16,17,Intel Corporation,INTC,0.991801,55.87,-0.74,(-1.30%)
17,18,Mastercard Incorporated Class A,MA,0.978704,277.28,0.13,(0.05%)
18,19,UnitedHealth Group Incorporated,UNH,0.954306,251.47,-3.33,(-1.31%)
19,20,Walt Disney Company,DIS,0.923447,129.1,-0.51,(-0.39%)
20,21,Chevron Corporation,CVX,0.873573,116.15,-0.21,(-0.18%)
21,22,Merck & Co. Inc.,MRK,0.873206,86.63,0.41,(0.47%)
22,23,Pfizer Inc.,PFE,0.841953,38.47,-0.02,(-0.04%)
23,24,Wells Fargo & Company,WFC,0.825193,51.38,-0.65,(-1.25%)
24,25,Coca-Cola Company,KO,0.821107,53.93,-0.01,(-0.02%)
25,26,Comcast Corporation Class A,CMCSA,0.801761,44.21,-0.48,(-1.07%)
26,27,Cisco Systems Inc.,CSCO,0.798641,47.44,-0.12,(-0.25%)
27,28,PepsiCo Inc.,PEP,0.756829,136.32,-0.58,(-0.42%)
