ticker,symbol,marketcap,ipoyear,sector
A,A,21960000000.0,1999.0,Capital Goods
AA,AA,3730000000.0,2016.0,Basic Industries
AAL,AAL,12950000000.0,,Transportation
AAMC,AAMC,17880000.0,,Finance
AAN,AAN,4420000000.0,,Technology
AAOI,AAOI,217340000.0,2013.0,Technology
AAON,AAON,2370000000.0,,Capital Goods
AAP,AAP,10360000000.0,,Consumer Services
AAPL,AAPL,919340000000.0,1980.0,Technology
AAT,AAT,2840000000.0,2011.0,Consumer Services
AAWW,AAWW,798380000.0,,Transportation
ABBV,ABBV,96770000000.0,2012.0,Health Care
ABC,ABC,18310000000.0,,Health Care
ABCB,ABCB,2630000000.0,1994.0,Finance
ABG,ABG,1800000000.0,2002.0,Consumer Durables
ABM,ABM,2730000000.0,,Finance
ABMD,ABMD,8700000000.0,,Health Care
ABT,ABT,151220000000.0,,Health Care
ACAD,ACAD,4250000000.0,1985.0,Health Care
ACC,ACC,6520000000.0,2004.0,Consumer Services
ACCO,ACCO,937940000.0,,Consumer Durables
ACGL,ACGL,15970000000.0,,Finance
ACHC,ACHC,2590000000.0,,Health Care
ACHN,ACHN,668660000.0,2006.0,Health Care
ACIW,ACIW,3420000000.0,,Technology
ACLS,ACLS,501710000.0,2000.0,Technology
ACM,ACM,5420000000.0,2007.0,Consumer Services
ACN,ACN,123840000000.0,2001.0,Miscellaneous
ACOR,ACOR,142220000.0,2006.0,Health Care
ACRE,ACRE,435630000.0,2012.0,Consumer Services
ACRX,ACRX,181500000.0,2011.0,Health Care
ACTG,ACTG,146390000.0,,Miscellaneous
ADBE,ADBE,144550000000.0,1986.0,Technology
ADC,ADC,2960000000.0,,Consumer Services
ADES,ADES,230370000.0,,Basic Industries
ADI,ADI,41520000000.0,,Technology
ADM,ADM,21330000000.0,,Consumer Non-Durables
ADMS,ADMS,168500000.0,2014.0,Health Care
ADP,ADP,73970000000.0,,Technology
ADS,ADS,8130000000.000001,2001.0,Miscellaneous
ADSK,ADSK,33409999999.999996,,Technology
ADT,ADT,3970000000.0,2018.0,Consumer Services
ADTN,ADTN,535940000.00000006,1994.0,Public Utilities
ADUS,ADUS,1070000000.0,2009.0,Health Care
AE,AE,138770000.0,,Energy
AEE,AEE,18760000000.0,,Public Utilities
AEGN,AEGN,604910000.0,,Basic Industries
AEIS,AEIS,1930000000.0,1995.0,Capital Goods
AEL,AEL,2100000000.0,2003.0,Finance
AEO,AEO,2880000000.0,,Consumer Services
AEP,AEP,44200000000.0,,Public Utilities
AERI,AERI,1050000000.0,2013.0,Health Care
AES,AES,10520000000.0,,Basic Industries
AFG,AFG,9260000000.0,,Finance
AFH,AFH,4600000.0,2013.0,Finance
AFL,AFL,39150000000.0,,Finance
AGCO,AGCO,5620000000.0,,Capital Goods
AGEN,AGEN,349740000.0,2000.0,Health Care
AGIO,AGIO,2510000000.0,2013.0,Health Care
AGM,AGM,831300000.0,,Finance
AGN,AGN,52400000000.0,2013.0,Health Care
AGNC,AGNC,9410000000.0,2008.0,Consumer Services
AGO,AGO,4640000000.0,2004.0,Finance
AGTC,AGTC,70320000.0,2014.0,Health Care
AGX,AGX,615950000.0,,Basic Industries
AGYS,AGYS,649420000.0,,Technology
AHC,AHC,74690000.0,,Consumer Services
AHH,AHH,1290000000.0,2013.0,Finance
AHT,AHT,303360000.0,2003.0,Consumer Services
AI,AI,218700000.0,,Consumer Services
AIG,AIG,49420000000.0,,Finance
AIMC,AIMC,1670000000.0,2006.0,Capital Goods
AIN,AIN,2710000000.0,,Basic Industries
AINV,AINV,1110000000.0,2004.0,
AINV,AINV,1110000000.0,2004.0,
AIQ,AIQ,37830000.0,,
AIR,AIR,1460000000.0,,Capital Goods
AIT,AIT,2200000000.0,,Consumer Durables
AIV,AIV,7540000000.0,1994.0,Consumer Services
AIZ,AIZ,7340000000.0,2004.0,Finance
AJG,AJG,16780000000.000002,,Finance
AKAM,AKAM,14490000000.0,1999.0,Miscellaneous
AKBA,AKBA,492670000.0,2014.0,Health Care
AKR,AKR,2350000000.0,,Consumer Services
AKRX,AKRX,400500000.0,,Health Care
AKS,AKS,819440000.0,,Basic Industries
AL,AL,4460000000.0,2011.0,Technology
ALB,ALB,7790000000.0,,Basic Industries
ALCO,ALCO,230080000.0,,Consumer Non-Durables
ALDR,ALDR,834200000.0,2014.0,Health Care
ALE,ALE,4470000000.0,,Public Utilities
ALEX,ALEX,1690000000.0,,Consumer Services
ALG,ALG,1290000000.0,,Capital Goods
ALGN,ALGN,15040000000.0,2001.0,Health Care
ALGT,ALGT,2430000000.0,2006.0,Transportation
ALIM,ALIM,39760000.0,2010.0,Health Care
ALK,ALK,7960000000.0,,Transportation
ALKS,ALKS,3600000000.0,1991.0,Health Care
ALL,ALL,34660000000.0,,Finance
ALLE,ALLE,9260000000.0,2013.0,Consumer Services
ALNY,ALNY,8840000000.0,2004.0,Health Care
ALSN,ALSN,5330000000.0,2012.0,Capital Goods
ALTR,ALTR,2990000000.0,2017.0,Technology
ALX,ALX,1840000000.0,,Consumer Services
ALXN,ALXN,25140000000.0,1996.0,Health Care
AMAG,AMAG,313360000.0,,Health Care
AMAT,AMAT,44800000000.0,1972.0,Technology
AMBA,AMBA,1530000000.0,2012.0,Technology
AMBC,AMBC,855790000.0,,Finance
AMC,AMC,1250000000.0,2013.0,Consumer Services
AMCX,AMCX,2980000000.0,,Consumer Services
AMD,AMD,36820000000.0,,Technology
AME,AME,19850000000.0,,Consumer Durables
AMED,AMED,4380000000.0,,Health Care
AMG,AMG,4110000000.000001,,Finance
AMGN,AMGN,111080000000.0,1983.0,Health Care
AMKR,AMKR,2160000000.0,1998.0,Technology
AMNB,AMNB,399480000.0,,Finance
AMP,AMP,17660000000.0,,Finance
AMPE,AMPE,56460000.0,,Health Care
AMRC,AMRC,701410000.0,2010.0,Basic Industries
AMRS,AMRS,375130000.0,2010.0,Basic Industries
AMSC,AMSC,185010000.0,1991.0,Consumer Durables
AMSF,AMSF,1280000000.0,2005.0,Finance
AMSWA,AMSWA,424250000.0,,Technology
AMT,AMT,97840000000.0,,Consumer Services
AMTD,AMTD,25350000000.0,1997.0,Finance
AMWD,AMWD,1410000000.0,1986.0,Basic Industries
AMZN,AMZN,906650000000.0,1997.0,Consumer Services
AN,AN,4310000000.0,,Consumer Durables
ANAT,ANAT,3180000000.0,,Finance
ANDE,ANDE,856050000.0,,Consumer Services
ANF,ANF,1150000000.0,,Consumer Services
ANGI,ANGI,4770000000.0,,Consumer Services
ANGO,ANGO,743300000.0,2004.0,Health Care
ANH,ANH,372030000.0,,Consumer Services
ANIK,ANIK,779700000.0,,Health Care
ANIP,ANIP,887680000.0,,Health Care
ANSS,ANSS,17740000000.0,1996.0,Technology
ANTM,ANTM,73840000000.0,,Health Care
AON,AON,44740000000.0,,Finance
AOS,AOS,7680000000.0,,Consumer Durables
AOSL,AOSL,276930000.0,2010.0,Technology
AP,AP,45170000.0,,Capital Goods
APA,APA,8439999999.999999,,Energy
APAM,APAM,2200000000.0,2013.0,Finance
APD,APD,50240000000.0,,Basic Industries
APEI,APEI,434560000.0,2007.0,Consumer Services
APH,APH,26400000000.0,,Capital Goods
APOG,APOG,1020000000.0,,Capital Goods
APTV,APTV,21890000000.0,2011.0,Capital Goods
ARAY,ARAY,327010000.0,2007.0,Health Care
